name,sex,transcript
Asma,female,"('A', 'S', 'm', 'A')"
Aszenát,female,"('A', 's', 'S', 'E', 'n', 'a:', 't')"
Ászja,female,"('a:', 's', 'S', 'j', 'A')"
Aszpázia,female,"('A', 's', 'S', 'p', 'a:', 'z', 'i', 'A')"
Asszunta,female,"('A', 'ss2', '(L01', 'S', 'u', 'n', 't', 'A')"
Asztéria,female,"('A', 's', 'S', 't', 'e:', 'R2', 'i', 'A')"
Asztrea,female,"('A', 's', 'S', 't', 'R2', 'E', 'A')"
Asztrid,female,"('A', 's', 'S', 't', 'R2', 'i', 'd')"
Asztrida,female,"('A', 's', 'S', 't', 'R2', 'i', 'd', 'A')"
Atala,female,"('A', 't', 'A', 'l', 'A')"
Atalanta,female,"('A', 't', 'A', 'l', 'A', 'n', 't', 'A')"
Atália,female,"('A', 't', 'a:', 'l', 'i', 'A')"
Atanázia,female,"('A', 't', 'A', 'n', 'a:', 'z', 'i', 'A')"
Atára,female,"('A', 't', 'a:', 'ára')"
Aténa,female,"('A', 't', 'e:', 'n', 'A')"
Aténé,female,"('A', 't', 'e:', 'n', 'e:')"
Atika,female,"('A', 't', 'i', 'k', 'A')"
Atina,female,"('A', 't', 'i', 'n', 'A')"
Auguszta,female,"('A', 'u', 'g', 'u', 's', 'S', 't', 'A')"
Augusztina,female,"('A', 'u', 'g', 'u', 's', 'S', 't', 'i', 'n', 'A')"
Aura,female,"('A', 'u', 'R2', 'ra', 'A', 'u')"
Aurea,female,"('A', 'u', 'R2', 'E', 'A')"
Aurélia,female,"('A', 'u', 'R2', 'e:', 'l', 'i', 'A')"
Aurora,female,"('A', 'u', 'R2', 'o', 'R2', 'ra', 'A', 'u', 'R2', 'o')"
Auróra,female,"('A', 'u', 'R2', 'o:', 'R2', 'ra', 'A', 'u', 'R2', 'o:')"
Avani,female,"('A', 'v', 'A', 'n', 'i', 'i', 'A', 'v', 'A', 'n')"
Avarka,female,"('A', 'v', 'A', 'R2', 'k', 'A')"
Aviána,female,"('A', 'v', 'i', 'a:', 'n', 'A')"
Avitál,female,"('A', 'v', 'i', 't', 'a:', 'l')"
Azala,female,"('A', 'z', 'A', 'l', 'A')"
Azálea,female,"('A', 'z', 'a:', 'l', 'E', 'A')"
Aziza,female,"('A', 'z', 'i', 'z', 'A')"
Azra,female,"('A', 'z', 'R2', 'ra', 'A', 'z')"
Azucséna,female,"('A', 'z', 'u', 'tS', 'ts', 'e:', 'n', 'A')"
Azura,female,"('A', 'z', 'u', 'R2', 'ra', 'A', 'z', 'u')"
Azurea,female,"('A', 'z', 'u', 'R2', 'E', 'A')"
Babér,female,"('b', 'A', 'b', 'e:', 'R2')"
Babett,female,"('b', 'A', 'b', 'E', 't:', 't')"
Babetta,female,"('b', 'A', 'b', 'E', 't:', 't', 'A')"
Babiána,female,"('b', 'A', 'b', 'i', 'a:', 'n', 'A')"
Babita,female,"('b', 'A', 'b', 'i', 't', 'A')"
Bagita,female,"('b', 'A', 'g', 'i', 't', 'A')"
Bahar,female,"('b', 'A', 'h', 'A', 'R2')"
Balbina,female,"('b', 'A', 'l', 'b', 'i', 'n', 'A')"
Balda,female,"('b', 'A', 'l', 'd', 'A')"
Balzsa,female,"('b', 'A', 'l', 'z', 'Z', 'A')"
Balzsam,female,"('b', 'A', 'l', 'z', 'Z', 'A', 'm')"
Banánvirág,female,"('b', 'A', 'n', 'a:', 'n', 'v', 'i', 'R2', 'a:', 'g')"
Bara,female,"('b', 'A', 'R2', 'ra', 'b', 'A')"
Barack,female,"('b', 'A', 'R2', 'A', 'ts', 'k')"
Baranka,female,"('b', 'A', 'R2', 'A', 'n', '(k', 'k', 'A')"
Barbara,female,"('b', 'A', 'R2', 'b', 'A', 'R2', 'ra', 'b', 'A', 'R2', 'b', 'A')"
Barbarella,female,"('b', 'A', 'R2', 'b', 'A', 'R2', 'E', 'l', 'l', 'A')"
Barbel,female,"('b', 'A', 'R2', 'b', 'E', 'l')"
Barbi,female,"('b', 'A', 'R2', 'b', 'i', 'i', 'b', 'A', 'R2', 'b')"
Barka,female,"('b', 'A', 'R2', 'k', 'A')"
Bársony,female,"('b', 'a:', 'R2', 'S', 'o', 'n', 'n^')"
Bársonyka,female,"('b', 'a:', 'R2', 'S', 'o', 'n', 'n^', 'k', 'A')"
Baucisz,female,"('b', 'A', 'u', 'ts', 'i', 's', 'S')"
Bazilia,female,"('b', 'A', 'z', 'i', 'l', 'i', 'A')"
Bea,female,"('b', 'E', 'A')"
Beáta,female,"('b', 'E', 'a:', 't', 'A')"
Beatricse,female,"('b', 'E', 'A', 't', 'R2', 'i', 'tS', 'ts', 'E')"
Beatrisz,female,"('b', 'E', 'A', 't', 'R2', 'i', 's', 'S')"
Beatrix,female,"('b', 'E', 'A', 't', 'R2', 'i', 'ks')"
Bebóra,female,"('b', 'E', 'b', 'o:', 'R2', 'ra', 'b', 'E', 'b', 'o:')"
Béda,female,"('b', 'e:', 'd', 'A')"
Begónia,female,"('b', 'E', 'g', 'o:', 'n', 'i', 'A')"
Bejke,female,"('b', 'E', 'j', 'k', 'E')"
Béke,female,"('b', 'e:', 'k', 'E')"
Bekka,female,"('b', 'E', 'k', 'k:', 'A')"
Belinda,female,"('b', 'E', 'l', 'i', 'n', 'd', 'A')"
Bella,female,"('b', 'E', 'l', 'l', 'A')"
Bellaróza,female,"('b', 'E', 'l', 'l', 'A', 'R2', 'o:', 'z', 'A')"
Bellatrix,female,"('b', 'E', 'l', 'l', 'A', 't', 'R2', 'i', 'ks')"
Benáta,female,"('b', 'E', 'n', 'a:', 't', 'A')"
Benedetta,female,"('b', 'E', 'n', 'E', 'd', 'E', 't:', 't', 'A')"
Benedikta,female,"('b', 'E', 'n', 'E', 'd', 'i', 'k', 't', 'A')"
Beneditta,female,"('b', 'E', 'n', 'E', 'd', 'i', 't:', 't', 'A')"
Benigna,female,"('b', 'E', 'n', 'i', 'g', 'n', 'A')"
Benita,female,"('b', 'E', 'n', 'i', 't', 'A')"
Benjamina,female,"('b', 'E', 'n', 'n^n^', 'A', 'm', 'i', 'n', 'A')"
Bente,female,"('b', 'E', 'n', 't', 'E')"
Bereniké,female,"('b', 'E', 'R2', 'E', 'n', 'i', 'k', 'e:')"
Berfin,female,"('b', 'E', 'R2', 'f', 'i', 'n')"
Berill,female,"('b', 'E', 'R2', 'i', 'l', 'l')"
Berkenye,female,"('b', 'E', 'R2', 'k', 'E', 'n', 'n^', 'E')"
Berna,female,"('b', 'E', 'R2', 'n', 'A')"
Bernadett,female,"('b', 'E', 'R2', 'n', 'A', 'd', 'E', 't:', 't')"
Bernadetta,female,"('b', 'E', 'R2', 'n', 'A', 'd', 'E', 't:', 't', 'A')"
Bernarda,female,"('b', 'E', 'R2', 'n', 'A', 'R2', 'd', 'A')"
Bernardina,female,"('b', 'E', 'R2', 'n', 'A', 'R2', 'd', 'i', 'n', 'A')"
Berta,female,"('b', 'E', 'R2', 't', 'A')"
Bertilla,female,"('b', 'E', 'R2', 't', 'i', 'l', 'l', 'A')"
Bertina,female,"('b', 'E', 'R2', 't', 'i', 'n', 'A')"
Bertolda,female,"('b', 'E', 'R2', 't', 'o', 'l', 'd', 'A')"
Béta,female,"('b', 'e:', 't', 'A')"
Betsabé,female,"('b', 'E', '(a', 't', 'A', 'b', 'e:')"
Betta,female,"('b', 'E', 't:', 't', 'A')"
Betti,female,"('b', 'E', 't:', 't', 'i', 'i', 'b', 'E', 't:', 't')"
Bettina,female,"('b', 'E', 't:', 't', 'i', 'n', 'A')"
Biana,female,"('b', 'i', 'A', 'n', 'A')"
Bianka,female,"('b', 'i', 'A', 'n', '(k', 'k', 'A')"
Bibiána,female,"('b', 'i', 'b', 'i', 'a:', 'n', 'A')"
Bíbor,female,"('b', 'i:', 'b', 'o', 'R2')"
Bíbora,female,"('b', 'i:', 'b', 'o', 'R2', 'ra', 'b', 'i:', 'b', 'o')"
Bíboranna,female,"('b', 'i:', 'b', 'o', 'R2', 'A', 'n', 'n', 'A')"
Bíborka,female,"('b', 'i:', 'b', 'o', 'R2', 'k', 'A')"
Bié,female,"('b', 'i', 'e:')"
Birgit,female,"('b', 'i', 'R2', 'g', 'i', 't')"
Biri,female,"('b', 'i', 'R2', 'i', 'i', 'b', 'i', 'R2')"
Bítia,female,"('b', 'i:', 't', 'i', 'A')"
Blandina,female,"('b', 'l', 'A', 'n', 'd', 'i', 'n', 'A')"
Blanka,female,"('b', 'l', 'A', 'n', '(k', 'k', 'A')"
Blazsena,female,"('b', 'l', 'A', 'z', 'Z', 'E', 'n', 'A')"
Blondina,female,"('b', 'l', 'o', 'n', 'd', 'i', 'n', 'A')"
Bóbita,female,"('b', 'o:', 'b', 'i', 't', 'A')"
Bodza,female,"('b', 'o', 'dz:', 'dz:', 'dz', 'd', 'A')"
Bogárka,female,"('b', 'o', 'g', 'a:', 'R2', 'k', 'A')"
Bogáta,female,"('b', 'o', 'g', 'a:', 't', 'A')"
Bogdána,female,"('b', 'o', 'g', 'd', 'a:', 'n', 'A')"
Bogi,female,"('b', 'o', 'g', 'i', 'i', 'b', 'o', 'g')"
Boglár,female,"('b', 'o', 'g', 'l', 'a:', 'R2')"
Boglárka,female,"('b', 'o', 'g', 'l', 'a:', 'R2', 'k', 'A')"
Bojána,female,"('b', 'o', 'j', 'a:', 'n', 'A')"
Bojka,female,"('b', 'o', 'j', 'k', 'A')"
Bolda,female,"('b', 'o', 'l', 'd', 'A')"
Bolívia,female,"('b', 'o', 'l', 'i:', 'v', 'i', 'A')"
Boni,female,"('b', 'o', 'n', 'i', 'i', 'b', 'o', 'n')"
Bonita,female,"('b', 'o', 'n', 'i', 't', 'A')"
Bonni,female,"('b', 'o', 'n', 'n', 'i', 'i', 'b', 'o', 'n', 'n')"
Bora,female,"('b', 'o', 'R2', 'ra', 'b', 'o')"
Bóra,female,"('b', 'o:', 'R2', 'ra', 'b', 'o:')"
Borbála,female,"('b', 'o', 'R2', 'b', 'a:', 'l', 'A')"
Borbolya,female,"('b', 'o', 'R2', 'b', 'o', 'l', 'j', 'A')"
Borcsa,female,"('b', 'o', 'R2', 'tS', 'ts', 'A')"
Bori,female,"('b', 'o', 'R2', 'i', 'i', 'b', 'o', 'R2')"
Borinka,female,"('b', 'o', 'R2', 'i', 'n', '(k', 'k', 'A')"
Boris,female,"('b', 'o', 'R2', 'i', 'S')"
Boriska,female,"('b', 'o', 'R2', 'i', 'S', 'k', 'A')"
Borka,female,"('b', 'o', 'R2', 'k', 'A')"
Boróka,female,"('b', 'o', 'R2', 'o:', 'k', 'A')"
Borostyán,female,"('b', 'o', 'R2', 'o', 'S', 't', 'c', 'a:', 'n')"
Borsika,female,"('b', 'o', 'R2', 'S', 'i', 'k', 'A')"
Bozsena,female,"('b', 'o', 'z', 'Z', 'E', 'n', 'A')"
Bozsóka,female,"('b', 'o', 'z', 'Z', 'o:', 'k', 'A')"
Böbe,female,"('b', 'Y', 'b', 'E')"
Böske,female,"('b', 'Y', 'S', 'k', 'E')"
Brenda,female,"('b', 'R2', 'E', 'n', 'd', 'A')"
Briana,female,"('b', 'R2', 'i', 'A', 'n', 'A')"
Brianna,female,"('b', 'R2', 'i', 'A', 'n', 'n', 'A')"
Briell,female,"('b', 'R2', 'i', 'E', 'l', 'l')"
Brigi,female,"('b', 'R2', 'i', 'g', 'i', 'i', 'b', 'R2', 'i', 'g')"
Brigitta,female,"('b', 'R2', 'i', 'g', 'i', 't:', 't', 'A')"
Britani,female,"('b', 'R2', 'i', 't', 'A', 'n', 'i', 'i', 'b', 'R2', 'i', 't', 'A', 'n')"
Britni,female,"('b', 'R2', 'i', 't', 'n', 'i', 'i', 'b', 'R2', 'i', 't', 'n')"
Britta,female,"('b', 'R2', 'i', 't:', 't', 'A')"
Brohe,female,"('b', 'R2', 'o', 'h', 'E')"
Brunella,female,"('b', 'R2', 'u', 'n', 'E', 'l', 'l', 'A')"
Brunhilda,female,"('b', 'R2', 'u', 'n', 'h', 'i', 'l', 'd', 'A')"
Brünhild,female,"('b', 'R2', 'y', 'n', 'h', 'i', 'l', 'd')"
Búzavirág,female,"('b', 'u:', 'z', 'A', 'v', 'i', 'R2', 'a:', 'g')"
Cecília,female,"('ts', 'E', 'ts', 'i:', 'l', 'i', 'A')"
Cecilla,female,"('ts', 'E', 'ts', 'i', 'l', 'l', 'A')"
Celerina,female,"('ts', 'E', 'l', 'E', 'R2', 'i', 'n', 'A')"
Celeszta,female,"('ts', 'E', 'l', 'E', 's', 'S', 't', 'A')"
Celesztina,female,"('ts', 'E', 'l', 'E', 's', 'S', 't', 'i', 'n', 'A')"
Célia,female,"('ts', 'e:', 'l', 'i', 'A')"
Celina,female,"('ts', 'E', 'l', 'i', 'n', 'A')"
Cettina,female,"('ts', 'E', 't:', 't', 'i', 'n', 'A')"
Cezarin,female,"('ts', 'E', 'z', 'A', 'R2', 'i', 'n')"
Cezarina,female,"('ts', 'E', 'z', 'A', 'R2', 'i', 'n', 'A')"
Cicelle,female,"('ts', 'i', 'ts', 'E', 'l', 'l', 'E')"
Ciklámen,female,"('ts', 'i', 'k', 'l', 'a:', 'm', 'E', 'n')"
Cila,female,"('ts', 'i', 'l', 'A')"
Cili,female,"('ts', 'i', 'l', 'i', 'i', 'ts', 'i', 'l')"
Cilka,female,"('ts', 'i', 'l', 'k', 'A')"
Cilla,female,"('ts', 'i', 'l', 'l', 'A')"
Cinderella,female,"('ts', 'i', 'n', 'd', 'E', 'R2', 'E', 'l', 'l', 'A')"
Cinella,female,"('ts', 'i', 'n', 'E', 'l', 'l', 'A')"
Cinka,female,"('ts', 'i', 'n', '(k', 'k', 'A')"
Cinna,female,"('ts', 'i', 'n', 'n', 'A')"
Cinnia,female,"('ts', 'i', 'n', 'n', 'i', 'A')"
Cintia,female,"('ts', 'i', 'n', 't', 'i', 'A')"
Cipora,female,"('ts', 'i', 'p', 'o', 'R2', 'ra', 'ts', 'i', 'p', 'o')"
Cippóra,female,"('ts', 'i', 'p', 'p:', 'o:', 'R2', 'ra', 'ts', 'i', 'p', 'p:', 'o:')"
Cipra,female,"('ts', 'i', 'p', 'R2', 'ra', 'ts', 'i', 'p')"
Cipriána,female,"('ts', 'i', 'p', 'R2', 'i', 'a:', 'n', 'A')"
Ciprienn,female,"('ts', 'i', 'p', 'R2', 'i', 'E', 'n', 'n')"
Cirel,female,"('ts', 'i', 'R2', 'E', 'l')"
Cirilla,female,"('ts', 'i', 'R2', 'i', 'l', 'l', 'A')"
Citta,female,"('ts', 'i', 't:', 't', 'A')"
Csaga,female,"('tS', 'ts', 'A', 'g', 'A')"
Csalka,female,"('tS', 'ts', 'A', 'l', 'k', 'A')"
Csende,female,"('tS', 'ts', 'E', 'n', 'd', 'E')"
Csendike,female,"('tS', 'ts', 'E', 'n', 'd', 'i', 'k', 'E')"
Csenge,female,"('tS', 'ts', 'E', 'n', '(g', 'g', 'E')"
Csengele,female,"('tS', 'ts', 'E', 'n', '(g', 'g', 'E', 'l', 'E')"
Csente,female,"('tS', 'ts', 'E', 'n', 't', 'E')"
Cseperke,female,"('tS', 'ts', 'E', 'p', 'E', 'R2', 'k', 'E')"
Csepke,female,"('tS', 'ts', 'E', 'p', 'k', 'E')"
Cseresznye,female,"('tS', 'ts', 'E', 'R2', 'E', 's', 'S', 'n', 'n^', 'E')"
Csermely,female,"('tS', 'ts', 'E', 'R2', 'R2_m', 'E', 'l', 'j')"
Cserne,female,"('tS', 'ts', 'E', 'R2', 'n', 'E')"
Csilla,female,"('tS', 'ts', 'i', 'l', 'l', 'A')"
Csillag,female,"('tS', 'ts', 'i', 'l', 'l', 'A', 'g')"
Csillagvirág,female,"('tS', 'ts', 'i', 'l', 'l', 'A', 'g', 'v', 'i', 'R2', 'a:', 'g')"
Csinszka,female,"('tS', 'ts', 'i', 'n', 's', 'S', 'k', 'A')"
Csinyere,female,"('tS', 'ts', 'i', 'n', 'n^', 'E', 're', 'R2', 'tS', 'ts', 'i', 'n', 'n^', 'E')"
Csobánka,female,"('tS', 'ts', 'o', 'b', 'a:', 'n', '(k', 'k', 'A')"
Csobilla,female,"('tS', 'ts', 'o', 'b', 'i', 'l', 'l', 'A')"
Csoboka,female,"('tS', 'ts', 'o', 'b', 'o', 'k', 'A')"
Csönge,female,"('tS', 'ts', 'Y', 'n', '(g', 'g', 'E')"
Csöre,female,"('tS', 'ts', 'Y', 're', 'R2', 'tS', 'ts', 'Y')"
Csuda,female,"('tS', 'ts', 'u', 'd', 'A')"
Dafna,female,"('d', 'A', 'f', 'n', 'A')"
Dafné,female,"('d', 'A', 'f', 'n', 'e:')"
Dála,female,"('d', 'a:', 'l', 'A')"
Dalanda,female,"('d', 'A', 'l', 'A', 'n', 'd', 'A')"
Dália,female,"('d', 'a:', 'l', 'i', 'A')"
Daliborka,female,"('d', 'A', 'l', 'i', 'b', 'o', 'R2', 'k', 'A')"
Dalida,female,"('d', 'A', 'l', 'i', 'd', 'A')"
Dalla,female,"('d', 'A', 'l', 'l', 'A')"
Dalma,female,"('d', 'A', 'l', 'm', 'A')"
Damajanti,female,"('d', 'A', 'm', 'A', 'j', 'A', 'n', 't', 'i', 'i', 'd', 'A', 'm', 'A', 'j', 'A', 'n', 't')"
Damarisz,female,"('d', 'A', 'm', 'A', 'R2', 'i', 's', 'S')"
Damiána,female,"('d', 'A', 'm', 'i', 'a:', 'n', 'A')"
Damira,female,"('d', 'A', 'm', 'i', 'R2', 'ra', 'd', 'A', 'm', 'i', 'i')"
Damjána,female,"('d', 'A', 'm', 'j', 'a:', 'n', 'A')"
Dana,female,"('d', 'A', 'n', 'A')"
Danica,female,"('d', 'A', 'n', 'i', 'ts', 'A')"
Daniela,female,"('d', 'A', 'n', 'i', 'E', 'l', 'A')"
Daniéla,female,"('d', 'A', 'n', 'i', 'e:', 'l', 'A')"
Daniella,female,"('d', 'A', 'n', 'i', 'E', 'l', 'l', 'A')"
Danila,female,"('d', 'A', 'n', 'i', 'l', 'A')"
Danka,female,"('d', 'A', 'n', '(k', 'k', 'A')"
Danna,female,"('d', 'A', 'n', 'n', 'A')"
Danuta,female,"('d', 'A', 'n', 'u', 't', 'A')"
Dára,female,"('d', 'a:', 'R2', 'ra', 'd', 'a:')"
Daria,female,"('d', 'A', 'R2', 'i', 'A')"
Dária,female,"('d', 'a:', 'R2', 'i', 'A')"
Darina,female,"('d', 'A', 'R2', 'i', 'n', 'A')"
Darinka,female,"('d', 'A', 'R2', 'i', 'n', '(k', 'k', 'A')"
Darla,female,"('d', 'A', 'R2', 'l', 'A')"
Dása,female,"('d', 'a:', 'S', 'A')"
Davina,female,"('d', 'A', 'v', 'i', 'n', 'A')"
Dea,female,"('d', 'E', 'A')"
Debóra,female,"('d', 'E', 'b', 'o:', 'R2', 'ra', 'd', 'E', 'b', 'o:')"
Delani,female,"('d', 'E', 'l', 'A', 'n', 'i', 'i', 'd', 'E', 'l', 'A', 'n')"
Delfina,female,"('d', 'E', 'l', 'f', 'i', 'n', 'A')"
Délia,female,"('d', 'e:', 'l', 'i', 'A')"
Délibáb,female,"('d', 'e:', 'l', 'i', 'b', 'a:', 'b')"
Delila,female,"('d', 'E', 'l', 'i', 'l', 'A')"
Delina,female,"('d', 'E', 'l', 'i', 'n', 'A')"
Delinda,female,"('d', 'E', 'l', 'i', 'n', 'd', 'A')"
Delinke,female,"('d', 'E', 'l', 'i', 'n', '(k', 'k', 'E')"
Della,female,"('d', 'E', 'l', 'l', 'A')"
Demetria,female,"('d', 'E', 'm', 'E', 't', 'R2', 'i', 'A')"
Demóna,female,"('d', 'E', 'm', 'o:', 'n', 'A')"
Déna,female,"('d', 'e:', 'n', 'A')"
Denerisz,female,"('d', 'E', 'n', 'E', 'R2', 'i', 's', 'S')"
Denisza,female,"('d', 'E', 'n', 'i', 's', 'S', 'A')"
Denissza,female,"('d', 'E', 'n', 'i', 'ss2', '(L01', 'S', 'A')"
Deniza,female,"('d', 'E', 'n', 'i', 'z', 'A')"
Deodáta,female,"('d', 'E', 'o', 'd', 'a:', 't', 'A')"
Derien,female,"('d', 'E', 'R2', 'i', 'E', 'n')"
Detti,female,"('d', 'E', 't:', 't', 'i', 'i', 'd', 'E', 't:', 't')"
Dettina,female,"('d', 'E', 't:', 't', 'i', 'n', 'A')"
Déva,female,"('d', 'e:', 'v', 'A')"
Devana,female,"('d', 'E', 'v', 'A', 'n', 'A')"
Deveni,female,"('d', 'E', 'v', 'E', 'n', 'i', 'i', 'd', 'E', 'v', 'E', 'n')"
Devínia,female,"('d', 'E', 'v', 'i:', 'n', 'i', 'A')"
Dezdemóna,female,"('d', 'E', 'z', 'd', 'E', 'm', 'o:', 'n', 'A')"
Dézi,female,"('d', 'e:', 'z', 'i', 'i', 'd', 'e:', 'z')"
Dezideráta,female,"('d', 'E', 'z', 'i', 'd', 'E', 'R2', 'a:', 't', 'A')"
Dezidéria,female,"('d', 'E', 'z', 'i', 'd', 'e:', 'R2', 'i', 'A')"
Dia,female,"('d', 'i', 'A')"
Diana,female,"('d', 'i', 'A', 'n', 'A')"
Diána,female,"('d', 'i', 'a:', 'n', 'A')"
Diandra,female,"('d', 'i', 'A', 'n', 'd', 'R2', 'ra', 'd', 'i', 'A', 'n', 'd')"
Dianna,female,"('d', 'i', 'A', 'n', 'n', 'A')"
Didra,female,"('d', 'i', 'd', 'R2', 'ra', 'd', 'i', 'd')"
Diké,female,"('d', 'i', 'k', 'e:')"
Dilara,female,"('d', 'i', 'l', 'A', 'R2', 'ra', 'd', 'i', 'l', 'A')"
Dimitra,female,"('d', 'i', 'm', 'i', 't', 'R2', 'ra', 'd', 'i', 'm', 'i', 't')"
Dimitrina,female,"('d', 'i', 'm', 'i', 't', 'R2', 'i', 'n', 'A')"
Dina,female,"('d', 'i', 'n', 'A')"
Dinara,female,"('d', 'i', 'n', 'A', 'R2', 'ra', 'd', 'i', 'n', 'A')"
Dió,female,"('d', 'i', 'o:')"
Dionízia,female,"('d', 'i', 'o', 'n', 'i:', 'z', 'i', 'A')"
Diotíma,female,"('d', 'i', 'o', 't', 'i:', 'm', 'A')"
Ditke,female,"('d', 'i', 't', 'k', 'E')"
Ditta,female,"('d', 'i', 't:', 't', 'A')"
Ditte,female,"('d', 'i', 't:', 't', 'E')"
Ditti,female,"('d', 'i', 't:', 't', 'i', 'i', 'd', 'i', 't:', 't')"
Dolli,female,"('d', 'o', 'l', 'l', 'i', 'i', 'd', 'o', 'l', 'l')"
Dolóresz,female,"('d', 'o', 'l', 'o:', 'R2', 'E', 's', 'S')"
Dolorita,female,"('d', 'o', 'l', 'o', 'R2', 'i', 't', 'A')"
Doloróza,female,"('d', 'o', 'l', 'o', 'R2', 'o:', 'z', 'A')"
Domicella,female,"('d', 'o', 'm', 'i', 'ts', 'E', 'l', 'l', 'A')"
Domiciána,female,"('d', 'o', 'm', 'i', 'ts', 'i', 'a:', 'n', 'A')"
Dominika,female,"('d', 'o', 'm', 'i', 'n', 'i', 'k', 'A')"
Dominka,female,"('d', 'o', 'm', 'i', 'n', '(k', 'k', 'A')"
Domitilla,female,"('d', 'o', 'm', 'i', 't', 'i', 'l', 'l', 'A')"
Donáta,female,"('d', 'o', 'n', 'a:', 't', 'A')"
Donatella,female,"('d', 'o', 'n', 'A', 't', 'E', 'l', 'l', 'A')"
Donja,female,"('d', 'o', 'n', 'n^n^', 'A')"
Donna,female,"('d', 'o', 'n', 'n', 'A')"
Dóra,female,"('d', 'o:', 'R2', 'ra', 'd', 'o:')"
Dorabella,female,"('d', 'o', 'R2', 'A', 'b', 'E', 'l', 'l', 'A')"
Doren,female,"('d', 'o', 'R2', 'E', 'n')"
Doretta,female,"('d', 'o', 'R2', 'E', 't:', 't', 'A')"
Dóri,female,"('d', 'o:', 'R2', 'i', 'i', 'd', 'o:', 'R2')"
Dorina,female,"('d', 'o', 'R2', 'i', 'n', 'A')"
Dorinda,female,"('d', 'o', 'R2', 'i', 'n', 'd', 'A')"
Dorinka,female,"('d', 'o', 'R2', 'i', 'n', '(k', 'k', 'A')"
Dorisz,female,"('d', 'o', 'R2', 'i', 's', 'S')"
Dorit,female,"('d', 'o', 'R2', 'i', 't')"
Dorita,female,"('d', 'o', 'R2', 'i', 't', 'A')"
Dorka,female,"('d', 'o', 'R2', 'k', 'A')"
Dorkás,female,"('d', 'o', 'R2', 'k', 'a:', 'S')"
Dorkász,female,"('d', 'o', 'R2', 'k', 'a:', 's', 'S')"
Dormánka,female,"('d', 'o', 'R2', 'R2_m', 'a:', 'n', '(k', 'k', 'A')"
Dorotea,female,"('d', 'o', 'R2', 'o', 't', 'E', 'A')"
Doroti,female,"('d', 'o', 'R2', 'o', 't', 'i', 'i', 'd', 'o', 'R2', 'o', 't')"
Dorotina,female,"('d', 'o', 'R2', 'o', 't', 'i', 'n', 'A')"
Dorottya,female,"('d', 'o', 'R2', 'o', 't:', 'c:', 't', 'A')"
Dotti,female,"('d', 'o', 't:', 't', 'i', 'i', 'd', 'o', 't:', 't')"
Döníz,female,"('d', 'Y', 'n', 'i:', 'z')"
Dragana,female,"('d', 'R2', 'A', 'g', 'A', 'n', 'A')"
Druzsiána,female,"('d', 'R2', 'u', 'z', 'Z', 'i', 'a:', 'n', 'A')"
Dulcinea,female,"('d', 'u', 'l', 'ts', 'i', 'n', 'E', 'A')"
Dusánka,female,"('d', 'u', 'S', 'a:', 'n', '(k', 'k', 'A')"
Dusenka,female,"('d', 'u', 'S', 'E', 'n', '(k', 'k', 'A')"
Dusmáta,female,"('d', 'u', 'S', 'm', 'a:', 't', 'A')"
Dvora,female,"('d', 'v', 'o', 'R2', 'ra', 'd', 'v', 'o')"
Dzsamila,female,"('dZ', 'dz:', 'dz:', 'd', 'A', 'm', 'i', 'l', 'A')"
Dzsámília,female,"('dZ', 'dz:', 'dz:', 'd', 'a:', 'm', 'i:', 'l', 'i', 'A')"
Dzsamilla,female,"('dZ', 'dz:', 'dz:', 'd', 'A', 'm', 'i', 'l', 'l', 'A')"
Dzsenet,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'E', 't')"
Dzsenifer,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'i', 'f', 'E', 'R2')"
Dzsenisz,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'i', 's', 'S')"
Dzsenna,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'n', 'A')"
Dzsenni,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'n', 'i', 'i', 'dZ', 'dz:', 'dz:', 'd', 'E', 'n', 'n')"
Dzsesszika,female,"('dZ', 'dz:', 'dz:', 'd', 'E', 'ss2', '(L01', 'S', 'i', 'k', 'A')"
Dzsindzser,female,"('dZ', 'dz:', 'dz:', 'd', 'i', 'n', 'dZ', 'dzs', 'dz:', 'dz:', 'd', 'E', 'R2')"
Écska,female,"('e:', 'tS', 'ts', 'k', 'A')"
Éda,female,"('e:', 'd', 'A')"
Edda,female,"('E', 'd', 'd:', 'A')"
Edentina,female,"('E', 'd', 'E', 'n', 't', 'i', 'n', 'A')"
Edina,female,"('E', 'd', 'i', 'n', 'A')"
Edit,female,"('E', 'd', 'i', 't')"
Edmara,female,"('E', 'd', 'm', 'A', 'R2', 'ra', 'E', 'd', 'm', 'A')"
Edmunda,female,"('E', 'd', 'm', 'u', 'n', 'd', 'A')"
Edna,female,"('E', 'd', 'n', 'A')"
Édra,female,"('e:', 'd', 'R2', 'ra', 'e:', 'd')"
Édua,female,"('e:', 'd', 'u', 'A')"
Eduárda,female,"('E', 'd', 'u', 'a:', 'R2', 'd', 'A')"
Edvarda,female,"('E', 'd', 'v', 'A', 'R2', 'd', 'A')"
Edvina,female,"('E', 'd', 'v', 'i', 'n', 'A')"
