name,sex,transcript
Ángyán,male,"('a:', 'n', '(g', 'J', 'g', 'a:', 'n')"
Anicét,male,"('A', 'n', 'i', 'ts', 'e:', 't')"
Aníziusz,male,"('A', 'n', 'i:', 'z', 'i', 'u', 's', 'S')"
Ankus,male,"('A', 'n', '(k', 'k', 'u', 'S')"
Antal,male,"('A', 'n', 't', 'A', 'l')"
Antigon,male,"('A', 'n', 't', 'i', 'g', 'o', 'n')"
Anton,male,"('A', 'n', 't', 'o', 'n')"
Antónió,male,"('A', 'n', 't', 'o:', 'n', 'i', 'o:')"
Antos,male,"('A', 'n', 't', 'o', 'S')"
Anzelm,male,"('A', 'n', 'z', 'E', 'l', 'm')"
Ányos,male,"('a:', 'n', 'n^', 'o', 'S')"
Apaj,male,"('A', 'p', 'A', 'j')"
Apollinár,male,"('A', 'p', 'o', 'l', 'l', 'i', 'n', 'a:', 'R2')"
Apolló,male,"('A', 'p', 'o', 'l', 'l', 'o:')"
Apor,male,"('A', 'p', 'o', 'R2')"
Apostol,male,"('A', 'p', 'o', 'S', 't', 'o', 'l')"
Apród,male,"('A', 'p', 'R2', 'o:', 'd')"
Aracs,male,"('A', 'R2', 'A', 'tS', 'ts')"
Arad,male,"('A', 'R2', 'A', 'd')"
Aragorn,male,"('A', 'R2', 'A', 'g', 'o', 'R2', 'n')"
Aram,male,"('A', 'R2', 'A', 'm')"
Aramisz,male,"('A', 'R2', 'A', 'm', 'i', 's', 'S')"
Árav,male,"('a:', 'R2', 'A', 'v')"
Archibald,male,"('A', 'R2', 'ts', 'h', 'i', 'b', 'A', 'l', 'd')"
Árden,male,"('a:', 'R2', 'd', 'E', 'n')"
Ardó,male,"('A', 'R2', 'd', 'o:')"
Arek,male,"('A', 'R2', 'E', 'k')"
Árész,male,"('a:', 'R2', 'e:', 's', 'S')"
Arétász,male,"('A', 'R2', 'e:', 't', 'a:', 's', 'S')"
Arián,male,"('A', 'R2', 'i', 'a:', 'n')"
Arie,male,"('A', 'R2', 'i', 'E')"
Ariel,male,"('A', 'R2', 'i', 'E', 'l')"
Arif,male,"('A', 'R2', 'i', 'f')"
Arion,male,"('A', 'R2', 'i', 'o', 'n')"
Árisz,male,"('a:', 'R2', 'i', 's', 'S')"
Arisztid,male,"('A', 'R2', 'i', 's', 'S', 't', 'i', 'd')"
Ariton,male,"('A', 'R2', 'i', 't', 'o', 'n')"
Arkád,male,"('A', 'R2', 'k', 'a:', 'd')"
Árkád,male,"('a:', 'R2', 'k', 'a:', 'd')"
Árkos,male,"('a:', 'R2', 'k', 'o', 'S')"
Arlen,male,"('A', 'R2', 'l', 'E', 'n')"
Árlen,male,"('a:', 'R2', 'l', 'E', 'n')"
Arman,male,"('A', 'R2', 'R2_m', 'A', 'n')"
Armand,male,"('A', 'R2', 'R2_m', 'A', 'n', 'd')"
Armandó,male,"('A', 'R2', 'R2_m', 'A', 'n', 'd', 'o:')"
Ármin,male,"('a:', 'R2', 'R2_m', 'i', 'n')"
Arnó,male,"('A', 'R2', 'n', 'o:')"
Arnold,male,"('A', 'R2', 'n', 'o', 'l', 'd')"
Arnót,male,"('A', 'R2', 'n', 'o:', 't')"
Áron,male,"('a:', 'R2', 'o', 'n')"
Árpád,male,"('a:', 'R2', 'p', 'a:', 'd')"
Arszák,male,"('A', 'R2', 's', 'S', 'a:', 'k')"
Árszen,male,"('a:', 'R2', 's', 'S', 'E', 'n')"
Arszlán,male,"('A', 'R2', 's', 'S', 'l', 'a:', 'n')"
Artem,male,"('A', 'R2', 't', 'E', 'm')"
Artemon,male,"('A', 'R2', 't', 'E', 'm', 'o', 'n')"
Artin,male,"('A', 'R2', 't', 'i', 'n')"
Artúr,male,"('A', 'R2', 't', 'u:', 'R2')"
Arus,male,"('A', 'R2', 'u', 'S')"
Arvéd,male,"('A', 'R2', 'v', 'e:', 'd')"
Arvid,male,"('A', 'R2', 'v', 'i', 'd')"
Árvin,male,"('a:', 'R2', 'v', 'i', 'n')"
Arzén,male,"('A', 'R2', 'z', 'e:', 'n')"
Aser,male,"('A', 'S', 'E', 'R2')"
Áser,male,"('a:', 'S', 'E', 'R2')"
Ashraf,male,"('A', 'S', 'h', 'R2', 'A', 'f')"
Asur,male,"('A', 'S', 'u', 'R2')"
Aszáf,male,"('A', 's', 'S', 'a:', 'f')"
Ászlán,male,"('a:', 's', 'S', 'l', 'a:', 'n')"
Aszmet,male,"('A', 's', 'S', 'm', 'E', 't')"
Aszter,male,"('A', 's', 'S', 't', 'E', 'R2')"
Asztor,male,"('A', 's', 'S', 't', 'o', 'R2')"
Asztrik,male,"('A', 's', 'S', 't', 'R2', 'i', 'k')"
Ata,male,"('A', 't', 'A')"
Atád,male,"('A', 't', 'a:', 'd')"
Atakám,male,"('A', 't', 'A', 'k', 'a:', 'm')"
Atanáz,male,"('A', 't', 'A', 'n', 'a:', 'z')"
Atilla,male,"('A', 't', 'i', 'l', 'l', 'A')"
Atlasz,male,"('A', 't', 'l', 'A', 's', 'S')"
Aton,male,"('A', 't', 'o', 'n')"
Atos,male,"('A', 't', 'o', 'S')"
Atosz,male,"('A', 't', 'o', 's', 'S')"
Attila,male,"('A', 't:', 't', 'i', 'l', 'A')"
Auguszt,male,"('A', 'u', 'g', 'u', 's', 'S', 't')"
Augusztin,male,"('A', 'u', 'g', 'u', 's', 'S', 't', 'i', 'n')"
Augusztusz,male,"('A', 'u', 'g', 'u', 's', 'S', 't', 'u', 's', 'S')"
Aurél,male,"('A', 'u', 'R2', 'e:', 'l')"
Aurélián,male,"('A', 'u', 'R2', 'e:', 'l', 'i', 'a:', 'n')"
Avenár,male,"('A', 'v', 'E', 'n', 'a:', 'R2')"
Avidan,male,"('A', 'v', 'i', 'd', 'A', 'n')"
Avner,male,"('A', 'v', 'n', 'E', 'R2')"
Axel,male,"('A', 'ks', 'E', 'l')"
Azár,male,"('A', 'z', 'a:', 'R2')"
Azarél,male,"('A', 'z', 'A', 'R2', 'e:', 'l')"
Azim,male,"('A', 'z', 'i', 'm')"
Aziz,male,"('A', 'z', 'i', 'z')"
Azriel,male,"('A', 'z', 'R2', 'i', 'E', 'l')"
Bács,male,"('b', 'a:', 'tS', 'ts')"
Bacsó,male,"('b', 'A', 'tS', 'ts', 'o:')"
Bagamér,male,"('b', 'A', 'g', 'A', 'm', 'e:', 'R2')"
Baján,male,"('b', 'A', 'j', 'a:', 'n')"
Bajka,male,"('b', 'A', 'j', 'k', 'A')"
Bajnok,male,"('b', 'A', 'j', 'n', 'o', 'k')"
Bájron,male,"('b', 'a:', 'j', 'R2', 'o', 'n')"
Bakács,male,"('b', 'A', 'k', 'a:', 'tS', 'ts')"
Baksa,male,"('b', 'A', 'k', 'S', 'A')"
Bakta,male,"('b', 'A', 'k', 't', 'A')"
Balabán,male,"('b', 'A', 'l', 'A', 'b', 'a:', 'n')"
Baladéva,male,"('b', 'A', 'l', 'A', 'd', 'e:', 'v', 'A')"
Balambér,male,"('b', 'A', 'l', 'A', 'm', 'b', 'e:', 'R2')"
Balár,male,"('b', 'A', 'l', 'a:', 'R2')"
Balaráma,male,"('b', 'A', 'l', 'A', 'R2', 'a:', 'm', 'A')"
Balassa,male,"('b', 'A', 'l', 'A', 'S', 'S', 'A')"
Balázs,male,"('b', 'A', 'l', 'a:', 'z', 'Z')"
Baldó,male,"('b', 'A', 'l', 'd', 'o:')"
Baldur,male,"('b', 'A', 'l', 'd', 'u', 'R2')"
Baldvin,male,"('b', 'A', 'l', 'd', 'v', 'i', 'n')"
Balián,male,"('b', 'A', 'l', 'i', 'a:', 'n')"
Bálint,male,"('b', 'a:', 'l', 'i', 'n', 't')"
Balla,male,"('b', 'A', 'l', 'l', 'A')"
Balló,male,"('b', 'A', 'l', 'l', 'o:')"
Balmaz,male,"('b', 'A', 'l', 'm', 'A', 'z')"
Baltazár,male,"('b', 'A', 'l', 't', 'A', 'z', 'a:', 'R2')"
Bán,male,"('b', 'a:', 'n')"
Bandó,male,"('b', 'A', 'n', 'd', 'o:')"
Bánk,male,"('b', 'a:', 'n', '(k', 'k')"
Bános,male,"('b', 'a:', 'n', 'o', 'S')"
Barabás,male,"('b', 'A', 'R2', 'A', 'b', 'a:', 'S')"
Baracs,male,"('b', 'A', 'R2', 'A', 'tS', 'ts')"
Barakony,male,"('b', 'A', 'R2', 'A', 'k', 'o', 'n', 'n^')"
Barangó,male,"('b', 'A', 'R2', 'A', 'n', '(g', 'g', 'o:')"
Bardó,male,"('b', 'A', 'R2', 'd', 'o:')"
Barla,male,"('b', 'A', 'R2', 'l', 'A')"
Barlám,male,"('b', 'A', 'R2', 'l', 'a:', 'm')"
Barna,male,"('b', 'A', 'R2', 'n', 'A')"
Barnabás,male,"('b', 'A', 'R2', 'n', 'A', 'b', 'a:', 'S')"
Barót,male,"('b', 'A', 'R2', 'o:', 't')"
Bars,male,"('b', 'A', 'R2', 'S')"
Barsz,male,"('b', 'A', 'R2', 's', 'S')"
Barta,male,"('b', 'A', 'R2', 't', 'A')"
Bartal,male,"('b', 'A', 'R2', 't', 'A', 'l')"
Bartó,male,"('b', 'A', 'R2', 't', 'o:')"
Barton,male,"('b', 'A', 'R2', 't', 'o', 'n')"
Bartos,male,"('b', 'A', 'R2', 't', 'o', 'S')"
Báruk,male,"('b', 'a:', 'R2', 'u', 'k')"
Bató,male,"('b', 'A', 't', 'o:')"
Bátony,male,"('b', 'a:', 't', 'o', 'n', 'n^')"
Bátor,male,"('b', 'a:', 't', 'o', 'R2')"
Batu,male,"('b', 'A', 't', 'u')"
Batus,male,"('b', 'A', 't', 'u', 'S')"
Bazil,male,"('b', 'A', 'z', 'i', 'l')"
Bazsó,male,"('b', 'A', 'z', 'Z', 'o:')"
Becse,male,"('b', 'E', 'tS', 'ts', 'E')"
Bedecs,male,"('b', 'E', 'd', 'E', 'tS', 'ts')"
Bedő,male,"('b', 'E', 'd', 'Y')"
Beke,male,"('b', 'E', 'k', 'E')"
Bekény,male,"('b', 'E', 'k', 'e:', 'n', 'n^')"
Bekes,male,"('b', 'E', 'k', 'E', 'S')"
